Title,Body,Labels,Milestone,Epic,Sprint,Assignees,Estimate,Priority,AcceptanceCriteria,Dependencies,Phase
CI/CD pipeline básico,"Configurar pipelines CI/CD (build, test, container publish) y despliegue a 'stage'.","S1,devops,cicd,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,DevOps,8.0,P1,Pipeline verde con tests; despliegue automático a stage tras merge.,Repos monorepo + config inicial,F0
"Esqueleto de servicios (Payments, Billing-SIF)",Crear servicios con scaffolding (OpenAPI v1 bosquejo) y health checks.,"S1,backend,scaffold,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"BE Payments,BE Billing-SIF",5.0,P1,Servicios arrancan; endpoints /health y /ready; OpenAPI bosquejo commit.,CI/CD pipeline básico,F0
Infra: Terraform + Kubernetes base,"Provisionar clusters K8s y recursos base (namespaces, ingress, certificados).","S1,infra,k8s,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,DevOps,8.0,P1,Cluster funcional; ingress con certificado válido; namespaces por entorno.,CI/CD pipeline básico,F0
Repos monorepo + config inicial,"Crear repositorios (monorepo o polyrepo decidido por ADR), políticas de ramas, CODEOWNERS, PR templates.","S1,devops,repo,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"DevOps,PM/PO",5.0,P1,Repos creados; protección ramas; CI básico dispara en PR.,,F0
SAST/SCA y políticas de logging,"Activar escaneos SAST/SCA, configurar sanitización de logs sin PII/PAN.","S1,security,quality,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"Security/Compliance,DevOps",3.0,P1,Build falla ante hallazgos críticos; pruebas de fuga de PII en logs = 0.,CI/CD pipeline básico,F0
Service Mesh con mTLS,Desplegar service mesh (p.ej. Istio/Linkerd) con mTLS por defecto.,"S1,security,networking,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"DevOps,Security",5.0,P1,mTLS activo entre pods; política deny-by-default aplicada.,Infra: Terraform + Kubernetes base,F0
"ADR: Event-sourcing, outbox, CQRS, particionado",Publicar ADRs que justifiquen decisiones de arquitectura clave.,"S1,architecture,ADR,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,Tech Lead,3.0,P2,ADRs aprobados por al menos 3 revisores; versionados.,,F0
EPIC: Fundaciones & Descubrimiento,"F0: Arquitectura, entornos, seguridad base, estándares y backlog.","epic,F0,architecture,security",F0,,,"PM/PO,Tech Lead",,P1,,,F0
"Observabilidad base (logs, métricas, tracing inicial)","Configurar stack de observabilidad inicial (Prometheus, Grafana, ELK/EFK, OpenTelemetry). Logs centralizados sin PII.","F0,infra,observability",F0,EPIC: Fundaciones & Descubrimiento,S1,"DevOps,BE",5.0,P2,Dashboards básicos en stage; métricas de salud disponibles; logs centralizados sin PII.,Infra: Terraform + Kubernetes base,F0
WAF habilitado en ingress,"Configurar Web Application Firewall en el entrypoint (p.ej. ModSecurity, AWS WAF, CloudArmor).","F0,security,infra",F0,EPIC: Fundaciones & Descubrimiento,S2,"Security/Compliance,DevOps",3.0,P1,Tráfico filtrado con reglas OWASP básicas; bypass test bloqueado.,Infra: Terraform + Kubernetes base,F0
Gestión de secretos con KMS/HSM,Configurar KMS/HSM para almacenamiento de secretos y llaves; integración con pods vía sidecar/SDK.,"F0,security,infra",F0,EPIC: Fundaciones & Descubrimiento,S2,"Security/Compliance,DevOps",5.0,P1,Todos los secretos gestionados en KMS; no hay credenciales en repositorios ni manifests.,Infra: Terraform + Kubernetes base,F0
Definición DoR/DoD inicial,Definir criterios de Definition of Ready/Definition of Done para backlog y sprints.,"F0,process,docs",F0,EPIC: Fundaciones & Descubrimiento,S1,"PM/PO,QA",2.0,P2,DoR/DoD documentados y aplicados en backlog.,Repos monorepo + config inicial,F0
"Runbooks iniciales (deploy, rollback, restart)","Documentar procedimientos operativos mínimos para despliegue, rollback y reinicio de servicios en stage.","F0,ops,docs",F0,EPIC: Fundaciones & Descubrimiento,S2,DevOps,3.0,P2,Runbooks publicados en repositorio interno y validados por al menos un miembro QA.,CI/CD pipeline básico,F0
